code,description
02042250,"Chiulota sau semichiulota, de ovine (excl.miei), nedezosata, proaspata sau refrigerata"
02042290,"Parti nedezosate de ovine (excl.miei), proaspete sau refrigerate (excl.casca sau semicasca, spinali si/sau sa sau semispinali si/sau semisa, chiulota sau semichiulota, carcase si semicarcase)"
02042300,"Carne dezosata de ovine (excl.miei), proaspata sau refrigerata"
02043000,"Carcase si semicarcase de miel, congelate"
02044100,"Carcase sau semicarcase de ovine (excl.miei), congelate"
02044210,"Casca sau semicasca nedezosata de ovine (excl.miei), congelata"
02044230,"Spinali si/sau sa sau semispinali si/sau semisa, nedezosate, de ovine (excl.miei), congelate"
02044250,"Chiulota sau semichiulota nedezosata de ovine (excl.miei), congelata"
02044290,"Parti nedezosate de ovine (excl.miei), congelate (excl. casca sau semicasca, spinali si/sau sa sau semispinali si/sau semisa, chiulota sau semichiulota, carcase sau semicarcase)"
02044310,"Carne dezosata de miel, congelata"
02044390,"Carne dezosata de ovine (excl.miei), congelata"
02045011,"Carcase sau semicarcase de caprine, proaspete sau refrigerate"
02045013,"Casca sau semicasca de caprine, proaspata sau refrigerata"
02045015,"Spinali si/sau sa sau semispinali si/sau semisa, de caprine, proaspete sau refrigerate"
02045019,"Chiulota sau semichiulota, de caprine, proaspata sau refrigerata"
02045031,"Bucati nedezosate de caprine, proaspate sau refrigerate (excl.carcase sau semicarcase, casca sau semicasca, spinali si/sau sa sau semispinali si/sau semisa, chiulota sau semichiulota)"
02045039,"Carne dezosata de caprine, proaspata sau refrigerata"
02045051,"Carcase sau semicarcase de caprine, congelate"
02045053,"Casca sau semicasca de caprine, congelata"
02045055,"Spinali si/sau sa sau semispinali si/sau semisa, de caprine, congelate"
02045059,"Chiulota sau semichiulota, de caprine, congelata"
02045071,"Bucati nedezosate de caprine, congelate (excl.carcase sau semicarcase, casca sau semicasca, spinali si/sau sa sau semispinali si/sau semisa, chiulota sau semichiulota)"
02045079,"Bucati dezosate de caprine, congelate (excl.carcase sau semicarcase, casca sau semicasca, spinali si/sau sa sau semispinali si/sau semisa, chiulota sau semichiulota)"
02050020,"Carne de cal, de magar sau de catar, proaspata sau refrigerata"
02050080,"Carne de cal, de magar sau de catar, congelata"
02061010,"Organe comestibile de animale din specia bovine, proaspete sau refrigerate, destinate fabricarii de produse farmaceutice"
02061095,"Muschiul gros si muschiul subtire ai diafragmei, comestibile, de bovine, proaspete sau refrigerate (excl. destinate fabricarii de produse farmaceutice)"
02061098,"Organe comestibile de animale din specia bovine, proaspete sau refrigerate (excl.cele destinate fabricarii de produse farmaceutice, excl. muschiul gros si muschiul subtire ai diafragmei)"
02062100,"Limba de bovine, congelata"
02062200,"Ficat de bovine, congelat"
02062910,"Organe comestibile de bovine, congelate (excl. limba si ficat), destinate fabricarii produselor farmaceutice"
02062991,"Muschiul gros si muschiul subtire ai diafragmei, de bovine, congelate (excl.destinate fabricarii produselor farmaceutice)"
02062999,"Alte organe comestibile de bovine, congelate (excl. limba, ficat, muschiul gros si muschiul subtire ai diafragmei; excl. destinate fabricarii produselor farmaceutice)"
02063000,"Organe comestibile de animale din specia porcine, proaspete sau refrigerate"
02064100,"Ficat comestibil de porcine, congelat"
02064900,"Organe comestibile de porcine, congelate (excl.ficat)"
02068010,"Organe comestibile de ovine, caprine, de cai, de magari sau de catari, proaspete sau refrigerate, destinate fabricarii de produse farmaceutice"
02068091,"Organe comestibile de cai, magari sau catari, proaspete sau refrigerate (excl. destinate fabricarii de produse farmaceutice)"
02068099,"Organe comestibile de ovine sau caprine, proaspete sau refrigerate (excl. destinate fabricarii de produse farmaceutice)"
02069010,"Organe comestibile de ovine, caprine, de cai, de magari sau de catari, congelate, destinate fabricarii de produse farmaceutice"
02069091,"Organe comestibile de cai, de magari sau de catari, congelate (excl.destinate fabricarii de produse farmaceutice)"
02069099,"Organe comestibile de ovine sau caprine, congelate, (excl.destinate fabricarii de produse farmaceutice)"
02071110,"Carne si organe comestibile, de cocosi si de gaini din specia Gallus domesticus, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, cu cap si picioare, denumite pui 83%"
02071130,"Carne si organe comestibile, de cocosi si de gaini din specia Gallus domesticus, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si picioare, dar cu gat, inima, ficat si pipota, denumite pui 70%"
02071190,"Carne si organe comestibile, de cocosi si de gaini din specia Gallus domesticus, netransate in bucati, proaspete sau refrigerate, fara pene, eviscerate, fara cap si picioare si fara gat, inima, ficat si pipota, denumite pui 65% sau altfel prezentate"
02071210,"Carne si organe comestibile, de cocosi si de gaini din specia Gallus domesticus, netransate in bucati, congelate, fara pene, eviscerate, fara cap si picioare, dar cu gat, inima, ficat si pipota, denumite pui 70%"
02071290,"Carne si organe comestibile, de cocosi si de gaini din specia Gallus domesticus, netransate in bucati, congelate, fara pene, eviscerate, fara cap si picioare si fara gat, inima, ficat si pipota, denumite pui 65%, sau altfel prezentate"
02071310,"Bucati comestibile, dezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus"
02071320,"Jumatati sau sferturi, nedezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus"
02071330,"Aripi intregi, cu sau fara varfuri, nedezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus"
02071340,"Spate, gaturi, spate cu gaturi impreuna, tartite, varfuri de aripi, nedezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus"
02071350,"Piept si bucati de piept, nedezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus"
02071360,"Pulpe si bucati de pulpe, nedezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus"
02071370,"Alte bucati comestibile, nedezosate, proaspete sau refrigerate, de cocosi si de gaini din specia Gallus domesticus (excl.jumatati sau sferturi, aripi, spate, gaturi, tartite, piept, pulpe)"
